,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Cancer Type,Liver Cancer,Kidney Cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx Cancer,Gallbladder and biliary tract cancer,Malignant Skin Cancer,Leukemia,Hodgkin Lymphoma,Multiple Myeloma,Other Neoplasms,Breast Cancer,Prostrate Cancer,Thyroid Cancer,Stomach Cancer,Bladder Cancer,Uterine Cancer,Ovarian Cancer,Cervical Cancer,Brain and central nervous system cancer,Non-Hodgkin Lymphoma,Pancreatic Cancer,Esophageal Cancer,Testicular Cancer,Nasopharynx Cancer,Other Pharynx Cancer, Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma
Oceania,4836.69,951.4799999999999,2648.2859999999996,27814.931999999997,1110.06,1284.498,650.178,10117.403999999999,618.462,1236.924,539.172,31303.691999999995,9435.51,983.1959999999999,18744.156,1918.818,2695.8599999999997,1902.9599999999998,13590.306,3615.624,2632.428,2949.588,2933.73,396.45,1982.25,459.88199999999995,10164.978,761.184,333.018
South America,223031.4421,225295.72069999998,180010.1487,1629148.4527,201520.7954,337377.51139999996,93967.56189999999,470969.9488,43021.293399999995,143781.6911,54342.68639999999,935147.0617999999,991754.0267999999,62267.6615,1384606.3639,226427.86,131328.15879999998,230956.4172,611355.222,356623.8795,324923.9791,579655.3216,441534.327,30567.7611,22642.786,104156.8156,1161574.9218,95099.7012,30567.7611
North America,458409.66080000007,493199.67970000004,216926.00020000004,5904070.8545,143253.019,161671.2643,304924.2833,843146.3404000001,49115.3208,448177.30230000004,257855.43420000002,1651502.6619000002,1332253.0767,59347.679299999996,611895.0383000001,560733.2458,239437.1889,556640.3024,223065.41530000002,530036.1703,851332.2272000001,1330206.605,532082.6420000001,14325.301900000002,32743.547200000005,77765.92460000001,2380046.5871,104370.05670000002,92091.2265
Africa,796089.6986,132892.557,208831.161,1328925.57,198706.01380000002,154408.4948,77204.2474,788495.8382,118970.47959999999,135423.8438,35438.0152,1321331.7096,1136547.7732,74672.96059999999,1063140.456,373364.803,117704.8362,216425.0214,1263112.1132,325270.3538,394880.7408,402474.60120000003,792292.7684,16453.3642,135423.8438,63282.17,909997.6046000001,46828.805799999995,25312.868000000002
Asia,9521362.9758,1059208.4568,2728613.0898,22934165.716800004,1634865.2268,2233548.2676,299341.52040000004,4536175.3476,391446.60360000003,782893.2072000001,310854.6558,6712157.938200001,3039467.7456,541117.3637999999,17937464.9532,1842101.664,886511.4258000001,1588812.6852,3361835.5368,2889796.9853999997,2429271.5694,4075649.9316000002,9302613.4032,115131.354,1485194.4666000002,1577299.5498000002,10200637.964399999,529604.2284,195723.30180000002
Europe,1413206.0238,1435908.1286,839977.8776,12435077.9042,800249.1941999999,862679.9824,624307.8820000001,1889950.2246,175941.3122,805924.7204,431339.9912,4648255.9578,3320182.8269999996,215669.9956,4909330.163,1918327.8556,743493.9322,1498338.9168,993217.085,1452934.7072,1390503.919,3416666.7723999997,1447259.1809999999,62430.7882,124861.5764,488095.2532,7820875.1036,283776.31,300802.8886
